1,11/01/2004,Monday,1,306,Week 44,,44,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-01 00:00:00
2,11/02/2004,Tuesday,2,307,Week 44,,44,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-02 00:00:00
3,11/03/2004,Wednesday,3,308,Week 44,,44,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-03 00:00:00
4,11/04/2004,Thursday,4,309,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-04 00:00:00
5,11/05/2004,Friday,5,310,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-05 00:00:00
6,11/06/2004,Saturday,6,311,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-06 00:00:00
7,11/07/2004,Sunday,7,312,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-07 00:00:00
8,11/08/2004,Monday,8,313,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-08 00:00:00
9,11/09/2004,Tuesday,9,314,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-09 00:00:00
10,11/10/2004,Wednesday,10,315,Week 45,,45,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-10 00:00:00
11,11/11/2004,Thursday,11,316,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-11 00:00:00
12,11/12/2004,Friday,12,317,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-12 00:00:00
13,11/13/2004,Saturday,13,318,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-13 00:00:00
14,11/14/2004,Sunday,14,319,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-14 00:00:00
15,11/15/2004,Monday,15,320,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-15 00:00:00
16,11/16/2004,Tuesday,16,321,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-16 00:00:00
17,11/17/2004,Wednesday,17,322,Week 46,,46,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-17 00:00:00
18,11/18/2004,Thursday,18,323,Week 47,,47,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-18 00:00:00
19,11/19/2004,Friday,19,324,Week 47,,47,November,11,2004-11,Q4,2004-Q4,2004,None,2004-11-19 00:00:00
